,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,PS,T2MDEW
2015-04-24,20.391526706349204,26.08,15.5,83.4,0.2,1.71,5.2598,97.07,17.5
2015-04-25,21.021471666666667,26.27,17.11,82.89,0.28,1.72,5.329,96.9,17.65
2015-04-26,21.025219246031753,27.76,15.37,71.59,0.0,1.62,5.939,96.6,15.29
2015-04-27,21.771757222222227,28.93,15.75,71.25,0.0,1.58,5.8097,96.5,15.99
2015-04-28,22.708582063492067,29.04,16.59,68.73,0.0,1.14,5.7869,96.47,16.13
2015-04-29,22.696460873015877,30.42,15.77,67.33,0.0,1.1,5.7103,96.33,15.69
2015-04-30,23.73891198412698,31.61,16.61,60.34,0.0,1.69,5.717,96.19,14.61
2015-05-01,24.037736713564215,31.54,17.67,61.6,0.0,1.92,5.1953,96.38,15.25
2015-05-02,22.972054404761902,28.15,19.3,78.99,0.0,1.55,3.7968,96.69,18.72
2015-05-03,22.84473949494949,28.73,18.6,76.03,0.0,1.01,4.3426,96.76,17.78
2015-05-04,22.450553852813854,28.74,17.86,74.52,0.0,0.93,4.8343,96.8,16.98
2015-05-05,21.37994775613275,28.13,16.32,69.04,0.0,1.17,5.4094,96.73,14.61
2015-05-06,21.171439801587304,29.67,12.84,53.4,0.0,1.32,5.8406,96.46,10.47
2015-05-07,21.214196984126986,28.36,15.5,61.05,0.69,2.35,5.0285,96.92,13.19
2015-05-08,21.01226535714286,26.27,16.83,80.41,5.48,3.51,3.9641,97.2,17.03
2015-05-09,20.268015952380946,26.22,16.0,76.39,0.42,1.71,4.7803,96.95,15.46
2015-05-10,20.859904047619047,28.06,14.73,67.93,0.0,1.26,5.4883,96.68,14.02
2015-05-11,21.131180674603186,28.76,14.84,71.46,0.0,1.26,4.975,96.77,14.93
2015-05-12,21.49278951298701,28.63,15.66,71.56,0.0,1.25,5.0076,96.92,15.62
2015-05-13,21.770285523088024,28.72,15.77,61.78,0.0,0.55,5.0753,96.73,13.95
2015-05-14,21.783884960317454,30.13,14.47,58.89,0.0,1.29,5.3467,96.58,12.57
2015-05-15,21.35823742063492,30.43,13.97,47.62,0.0,1.16,5.3825,96.71,9.33
2015-05-16,21.066580523088014,29.65,13.16,46.02,0.0,0.93,5.4372,96.76,8.06
2015-05-17,20.21810051587302,27.82,14.6,61.21,0.0,1.77,5.2906,96.95,11.73
2015-05-18,20.4254032936508,27.86,15.46,77.35,0.0,1.86,4.519,97.01,15.79
2015-05-19,20.39202277777779,27.81,14.53,73.55,0.0,1.21,4.9762,96.95,14.74
2015-05-20,20.560316388888893,28.19,14.1,74.73,0.0,1.57,4.7635,97.01,14.71
2015-05-21,20.26125583333334,27.31,15.3,78.58,0.51,1.64,4.7854,97.1,15.91
